YEAR,MO,DY,HR,WS2M,RH2M,T2M
2016,1,20,3,0.66,94.88,12.33
2016,1,20,4,1.0,92.88,12.15
2016,1,20,5,1.42,92.44,11.84
2016,1,20,6,1.66,91.81,11.6
2016,1,20,7,1.66,91.44,11.48
2016,1,20,8,1.6,88.5,12.52
2016,1,20,9,1.13,82.0,13.55
2016,1,20,10,0.43,75.12,14.79
2016,1,20,11,1.11,63.25,16.03
2016,1,20,12,1.83,59.38,16.37
2016,1,20,13,2.08,58.38,16.34
2016,1,20,14,2.34,59.56,16.06
2016,1,20,15,2.8,64.69,15.32
2016,1,20,16,2.91,77.5,13.65
2016,1,20,17,2.91,86.31,11.93
2016,1,20,18,2.7,91.19,11.4
2016,1,20,19,2.33,93.06,11.19
2016,1,20,20,2.05,90.88,11.45
2016,1,20,21,1.87,89.69,11.36
2016,1,20,22,1.8,91.19,10.72
2016,1,20,23,1.91,89.75,10.44
2016,1,21,0,2.05,85.94,10.44
2016,1,21,1,2.14,81.81,10.58
2016,1,21,2,2.26,78.25,10.77
2016,1,21,3,2.23,75.44,11.15
2016,1,21,4,2.17,74.81,11.46
2016,1,21,5,2.22,75.69,11.55
2016,1,21,6,2.28,75.94,11.55
2016,1,21,7,2.32,75.31,11.92
2016,1,21,8,2.49,70.56,13.66
2016,1,21,9,2.64,63.56,15.37
2016,1,21,10,2.86,57.06,16.93
2016,1,21,11,3.26,48.62,18.34
2016,1,21,12,3.09,46.75,18.65
2016,1,21,13,2.66,49.44,18.08
2016,1,21,14,2.09,55.69,17.19
2016,1,21,15,1.51,65.12,16.2
2016,1,21,16,0.99,76.94,14.76
2016,1,21,17,0.57,77.88,14.05
2016,1,21,18,0.86,80.44,13.4
2016,1,21,19,1.54,81.44,12.83
2016,1,21,20,1.88,85.5,12.08
2016,1,21,21,1.88,92.5,11.41
2016,1,21,22,1.64,97.56,11.01
2016,1,21,23,1.31,99.31,10.95
2016,1,22,0,1.17,99.75,10.91
2016,1,22,1,1.49,99.44,10.85
2016,1,22,2,1.41,96.0,11.18
2016,1,22,3,1.34,94.31,11.29
2016,1,22,4,1.71,93.5,11.37
2016,1,22,5,2.03,93.12,11.4
2016,1,22,6,2.05,92.44,11.44
2016,1,22,7,2.12,90.81,11.76
2016,1,22,8,2.36,85.75,13.05
2016,1,22,9,3.06,75.19,14.83
2016,1,22,10,3.25,69.44,15.92
2016,1,22,11,2.95,69.81,16.12
2016,1,22,12,2.55,73.0,15.6
2016,1,22,13,1.88,76.5,15.24
2016,1,22,14,1.27,78.88,15.03
2016,1,22,15,1.04,78.75,15.18
2016,1,22,16,0.59,84.62,14.44
2016,1,22,17,0.5,87.06,13.63
2016,1,22,18,0.57,86.62,13.62
2016,1,22,19,0.85,89.5,13.24
2016,1,22,20,1.37,92.31,12.81
2016,1,22,21,1.41,97.88,12.46
2016,1,22,22,1.0,99.88,12.48
2016,1,22,23,0.69,98.81,12.73
2016,1,23,0,0.88,98.94,12.73
2016,1,23,1,1.16,98.94,12.72
2016,1,23,2,1.31,99.0,12.68
2016,1,23,3,1.59,99.44,12.52
2016,1,23,4,1.86,99.44,12.38
2016,1,23,5,2.08,99.25,12.22
2016,1,23,6,2.42,98.69,12.05
2016,1,23,7,3.04,96.81,12.1
2016,1,23,8,3.95,92.62,12.51
2016,1,23,9,4.71,86.62,12.8
2016,1,23,10,5.17,77.81,13.51
2016,1,23,11,5.42,66.75,14.5
