YEAR,MO,DY,HR,WS2M,RH2M,T2M
2016,1,19,21,0.83,97.44,9.76
2016,1,19,22,0.92,99.5,9.25
2016,1,19,23,0.98,100.0,8.76
2016,1,20,0,1.03,100.0,8.23
2016,1,20,1,1.06,100.0,7.66
2016,1,20,2,1.05,100.0,7.26
2016,1,20,3,1.03,100.0,7.07
2016,1,20,4,1.0,100.0,7.37
2016,1,20,5,0.72,97.62,7.75
2016,1,20,6,0.51,96.5,7.83
2016,1,20,7,0.74,98.31,7.37
2016,1,20,8,0.93,96.25,8.67
2016,1,20,9,1.38,83.06,10.44
2016,1,20,10,1.26,63.81,12.67
2016,1,20,11,1.19,49.88,14.63
2016,1,20,12,1.05,44.62,15.9
2016,1,20,13,0.73,43.38,16.61
2016,1,20,14,0.42,43.88,16.75
2016,1,20,15,0.28,48.75,16.42
2016,1,20,16,0.12,50.31,15.26
2016,1,20,17,0.37,50.56,13.74
2016,1,20,18,0.18,54.44,13.06
2016,1,20,19,0.13,57.56,12.46
2016,1,20,20,0.13,60.19,11.79
2016,1,20,21,0.51,65.44,10.8
2016,1,20,22,0.77,71.31,10.12
2016,1,20,23,0.89,75.88,9.56
2016,1,21,0,0.95,81.69,8.89
2016,1,21,1,0.95,85.25,8.55
2016,1,21,2,0.94,88.06,8.32
2016,1,21,3,1.0,90.31,8.18
2016,1,21,4,1.15,92.44,8.08
2016,1,21,5,1.43,93.81,8.22
2016,1,21,6,1.68,95.06,8.42
2016,1,21,7,2.02,95.0,8.86
2016,1,21,8,2.59,90.56,10.19
2016,1,21,9,2.76,83.94,12.17
2016,1,21,10,2.71,74.69,15.19
2016,1,21,11,3.04,64.44,17.62
2016,1,21,12,2.98,61.38,18.25
2016,1,21,13,2.36,65.38,17.59
2016,1,21,14,1.18,79.38,16.29
2016,1,21,15,0.99,85.62,15.07
2016,1,21,16,1.13,87.5,13.55
2016,1,21,17,1.28,88.38,12.49
2016,1,21,18,1.38,87.94,12.15
2016,1,21,19,1.56,87.75,11.94
2016,1,21,20,1.85,88.75,11.65
2016,1,21,21,1.93,93.0,11.12
2016,1,21,22,2.38,95.12,11.78
2016,1,21,23,2.36,97.88,12.01
2016,1,22,0,1.84,99.38,11.83
2016,1,22,1,2.64,96.94,12.05
2016,1,22,2,2.83,95.56,11.81
2016,1,22,3,3.03,94.56,11.66
2016,1,22,4,3.2,94.06,11.69
2016,1,22,5,3.52,93.56,11.8
2016,1,22,6,3.8,93.81,11.98
2016,1,22,7,3.62,94.56,12.1
2016,1,22,8,3.47,94.56,12.46
2016,1,22,9,3.37,93.75,13.08
2016,1,22,10,3.44,92.81,13.78
2016,1,22,11,3.22,92.88,14.19
2016,1,22,12,3.79,89.19,14.43
2016,1,22,13,3.83,88.0,13.73
2016,1,22,14,3.2,90.94,13.33
2016,1,22,15,2.82,91.38,13.15
2016,1,22,16,2.2,93.38,12.44
2016,1,22,17,1.8,96.81,11.24
2016,1,22,18,1.84,97.94,10.87
